Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Anthony Misiewicz","STL",1,2,0,4.19663,24,0,0,4,23,97,22,12,11,3,8,1,1,21,8.22715,2.9709,2.76925,1.23212,0.216005,0.0780014,0.1380038931965828,0.249303,1.29318,0.293799,0.71387,,,4.17057,-0.00185286,-0.0333233,999,1.88387,-0.823459,0.941663,"18152"
"Jason Bilous","CLE",1,1,0,5.05759,6,1,0,0,11,49,11,6,6,1,6,0,1,10,8.50166,5.36992,1.5832,0.976885,0.206889,0.130678,0.07621133327484131,0.256037,1.5947,0.312668,0.681952,,,4.63772,-0.0028545,0.0013132,999,2.48892,-0.41182,1.01093,"sa875998"
"Noah Denoyer","BAL",0,0,0,3.9972,7,0,0,1,7,30,7,3,3,1,2,0,0,7,8.69514,2.45395,3.54333,1.42055,0.233142,0.0657974,0.16734439134597778,0.243366,1.20543,0.286078,0.734087,,,4.16562,-0.00354821,0.0510837,999,0.774863,-0.442576,1.2096,"sa3011889"
"Jharel Cotton",,1,0,0,3.89188,8,0,0,0,11,46,9,5,5,2,5,0,0,11,9.11171,3.93257,2.31699,1.40444,0.243411,0.105055,0.13835588097572327,0.220916,1.25927,0.260888,0.758298,,,4.4271,-0.00370042,0.0616428,999,0.768101,-1.17961,1.13563,"13654"
"Jesse Biddle","ARI",0,1,0,4.26947,14,0,0,1,14,62,13,7,7,1,7,0,1,13,8.64467,4.63353,1.86567,0.879078,0.21701,0.116317,0.10069289803504944,0.244909,1.45543,0.302947,0.712676,,,4.21783,-0.00420624,0.0382365,999,1.62588,1.06411,1.05432,"11437"
"Brad Hand","COL",3,3,0,4.3034,48,0,2,9,46,198,44,24,22,6,18,1,3,42,8.31833,3.63049,2.29124,1.13339,0.213768,0.0932979,0.12047024816274643,0.248233,1.36069,0.296254,0.710037,,,4.30256,-0.00544368,-0.0666467,749.8300170898438,2.23948,1.2958,0.589036,"9111"
"Zach Brzykcy","WSN",1,1,0,4.49989,9,0,0,1,9,39,8,5,4,1,4,0,1,9,9.12505,4.47373,2.0397,1.14845,0.232598,0.114036,0.11856228113174438,0.237643,1.40107,0.291601,0.701563,,,4.40854,-0.00681516,-0.0309428,999,0.147248,1.54573,1.12078,"sa3014984"
"Andrew Politi","BAL",1,2,0,4.22483,30,0,0,3,31,133,29,16,15,4,12,1,2,30,8.79694,3.51448,2.50306,1.13529,0.227739,0.0909845,0.13675495237112045,0.245482,1.33401,0.298318,0.711733,,,4.14261,-0.0072613,-0.0633431,999,1.53218,0.125364,0.810112,"sa3007243"
"Ryan Weathers","SDP",0,1,0,4.60745,8,0,0,0,10,43,10,6,5,1,4,0,0,7,6.52887,3.35667,1.94505,1.11247,0.166725,0.0857178,0.08100717514753342,0.26474,1.41714,0.297425,0.69182,,,4.48911,-0.00732629,-0.0953832,747.780029296875,1.97929,-1.35242,1.11814,"23796"
"Austin Brice","ARI",0,0,0,4.46479,6,0,0,0,6,27,6,3,3,1,2,0,0,6,8.26608,3.5375,2.3367,1.22521,0.211849,0.0906616,0.12118745595216751,0.253444,1.37756,0.299786,0.70628,,,4.39802,-0.0084017,0.0143799,999,1.52387,-1.3313,1.18665,"17237"
