Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Abraham Almonte","NYM",3,9,8,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.217583,0.107548,0.252592,0.425779,0.305956,0.353516,0.294191,0.659472,0.135933,3.93676,0.274334,,-0.00274449,0.931673,-0.112882,94.3867,-0.00274449,0,-0.06232047500088811,-0.1006944477558136,0.0151545,999,,,,"5486"
"Eli White","ATL",17,61,55,12,8,2,0,2,7,5,5,0,19,1,0,0,1,2,0,0.21797,0.0780436,0.306498,0.25463,0.288092,0.35507,0.28519,0.643162,0.1371,6.26004,0.297043,,0.156795,5.78838,-1.19064,79.8754,0.156795,0.14,-1.2702756077051163,-0.6392592638731003,0.0151158,749.3200073242188,,,,"19346"
"Dixon Machado","HOU",5,15,14,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.217275,0.0726666,0.201204,0.36116,0.281298,0.291736,0.257979,0.573033,0.0744608,3.54708,0.267849,,-0.0025239,1.09502,-0.615031,65.6546,-0.0025239,0.03,-0.5805164547637105,0.24652777425944805,0.0149442,999,,,,"11472"
"David Fletcher","LAA",91,369,345,85,70,14,2,0,35,26,18,0,35,2,2,2,8,5,2,0.247074,0.0490521,0.0960645,0.510617,0.287044,0.296654,0.260473,0.583697,0.0495791,4.38497,0.273653,,-0.0522692,27.7262,-14.4321,64.9998,-0.0522692,0.24,-14.573336835950613,2.965943083167076,0.0142174,579.3800048828125,,,,"17992"
"Brent Rooker","OAK",10,36,32,7,4,1,0,1,3,4,3,0,12,1,0,0,0,0,0,0.205689,0.0872599,0.336357,0.259427,0.287841,0.357228,0.284677,0.645069,0.151539,3.21017,0.290101,,-0.0207404,3.41095,-0.719361,89.1374,-0.0207404,-0.1,-0.4622731450945139,-0.5563426092267036,0.0138431,749.0999755859375,,,,"19627"
"Davis Wendzel","TEX",4,15,13,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.198444,0.0692529,0.277759,0.249328,0.261487,0.327136,0.261449,0.588622,0.128691,3.26566,0.252375,,-0.00256789,1.12386,-0.567549,67.4736,-0.00256789,0,-0.5439822091720998,0.19643518328666687,0.0129755,999,,,,"sa3011890"
"Alexander Canario","CHC",4,13,12,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.22074,0.0703302,0.299723,0.234651,0.280345,0.385212,0.290378,0.665557,0.164472,5.10353,0.287843,,0.0194588,1.30934,-0.203575,86.2144,0.0194588,0,-0.1924572642892599,-0.14584435522556305,0.0112197,999,,,,"sa3003316"
"Jack Mayfield",,12,35,32,7,4,1,0,1,4,3,2,0,8,0,0,0,1,0,0,0.215167,0.0508728,0.229941,0.221242,0.260536,0.355017,0.269146,0.615553,0.139851,4.31232,0.25404,,-0.000995139,2.85936,-1.12344,71.123,-0.000995139,0,-1.132834414835088,0.12797987461090088,0.010974,999,,,,"15402"
"Tony Wolters",,5,14,13,3,2,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0.199443,0.0812482,0.261844,0.310292,0.276744,0.24537,0.239991,0.522114,0.0459272,3.0425,0.279461,,-0.0120129,0.840348,-0.790232,53.7767,-0.0120129,0,-0.7537455344572663,0.39645060896873474,0.0101729,999,,,,"11470"
"Brennen Davis","CHC",5,13,12,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.219732,0.0798124,0.295522,0.270072,0.294283,0.361482,0.290589,0.655764,0.14175,4.05696,0.294876,,0.00200239,1.32583,-0.203549,86.3587,0.00200239,0,-0.20997853041626513,-0.1474316567182541,0.00972204,999,,,,"sa3007876"
"Scott Kingery","PHI",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.20935,0.0798784,0.32022,0.249448,0.278301,0.357666,0.280353,0.635967,0.148316,5.01547,0.288149,,0.00412216,0.602025,-0.154491,77.5638,0.00412216,0.01,-0.16833882872015238,0.03583333268761635,0.00945923,748.75,,,,"17975"
"Joe McCarthy",,2,10,9,2,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0.213983,0.0914485,0.260656,0.35084,0.295105,0.34838,0.286113,0.643485,0.134397,4.13086,0.273047,,0.005638,0.939757,-0.184611,84.8859,0.005638,0.03,-0.1616000304929912,-0.06648148782551289,0.0089353,750.8300170898438,,,,"18399"
"David Dahl","SDP",5,15,14,3,2,1,0,0,2,2,1,0,4,0,0,0,0,0,0,0.232055,0.0626082,0.249885,0.250548,0.284395,0.36373,0.284545,0.648125,0.131675,3.99017,0.29097,,-0.00574276,1.40641,-0.2985,85.6327,-0.00574276,0,-0.25462866434827447,-0.16435185074806213,0.00867996,750.6199951171875,,,,"13744"
"Anthony Bemboom","BAL",4,14,13,3,2,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0.20166,0.0784718,0.261619,0.299947,0.270426,0.308789,0.258996,0.579214,0.107128,3.11518,0.259989,,-0.00812443,1.04292,-0.567994,66.0358,-0.00812443,-0.14,-0.5465653762221336,0.18037037551403046,0.00866325,999,,,,"13854"
"Franchy Cordero","BAL",16,50,45,10,6,2,0,1,6,5,4,0,17,0,0,0,1,1,0,0.219358,0.0835012,0.335781,0.248678,0.290223,0.373101,0.291325,0.663324,0.153743,5.3453,0.312432,,0.0332737,4.95551,-0.727279,88.8596,0.0332737,0,-0.5897529348731041,-0.913029134273529,0.00841095,743.8599853515625,,,,"14567"
"Josh Lester","BAL",11,15,14,3,2,1,0,0,1,2,1,0,4,0,0,0,0,0,0,0.207415,0.0628973,0.272575,0.230752,0.260609,0.357063,0.269169,0.617672,0.149648,3.53494,0.258677,,-0.00174898,1.2329,-0.484016,73.2179,-0.00174898,0,-0.45426783082075417,0.05516975373029709,0.00830858,999,,,,"17737"
"Austin Romine",,14,39,37,8,6,1,0,1,3,4,2,0,11,0,0,0,1,0,0,0.215566,0.0473841,0.290017,0.163384,0.25723,0.33178,0.259294,0.58901,0.116213,2.23361,0.283858,,-0.0296766,2.92697,-1.57965,57.5781,-0.0296766,0,-1.9721947275102139,0.7240593433380127,0.008178,999,,,,"5491"
"Jo Adell","LAA",35,134,124,27,16,6,1,4,16,14,8,0,45,2,1,0,2,2,1,0.217955,0.0586498,0.338553,0.173237,0.271983,0.381748,0.285693,0.65373,0.163793,5.40117,0.302702,,0.107026,12.7986,-2.56784,82.8052,0.107026,-0.09,-2.4932300969958305,-1.712962955236435,0.00776871,502.67999267578125,,,,"20220"
"Zack Collins","CLE",5,19,16,3,2,1,0,1,2,2,2,0,6,0,0,0,0,0,0,0.195749,0.119291,0.319859,0.372947,0.296745,0.346993,0.288058,0.643738,0.151244,2.50091,0.26574,,-0.014865,1.80424,-0.320093,86.1497,-0.014865,-0.64,-0.30441700480878353,-0.2331327199935913,0.00568686,999,,,,"19181"
